Company Symbol,Company Name,Sector,Shares Outstanding,EPS,P/E Ratio,Book Value,PBV,Market Capitalization,% Dividend,% Bonus,Right Share
NRBBR2069,Bikash Rinpatra 2069 (NRBBR2069),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
SMJC,Sagarmatha Jalabidhyut Company Limited (SMJC),Hydro Power,"11,200,000.00","6.67 (FY:081-082, Q:2)",94.45,113.75,5.54,"7,056,000,000.00","0.25
                                
                                    (FY:080-081)","4.75
                                
                                    (FY:080-081)",
SINDUP,Sindhu Bikash Bank Limited Promoter Share (SINDUP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,188,0,"0.66
                                
                                    (FY:071-072)","12.50
                                
                                    (FY:071-072)",
SAPDBLP,Saptakoshi Development Bank Ltd Promoter Share (SAPDBLP),Promotor Share,,"0.00 (FY:, Q:0)",0,0,698,0,,,
NRBBR2075,Bikash Rinpatra 2075 (NRBBR2075),Government Bond,,"0.00 (FY:, Q:0)",0,0,0,0,,,
PROFL,Progressive Finance Limited (PROFL),Finance,"8,481,060.00","20.13 (FY:081-082, Q:2)",27.22,75.14,7.29,"4,647,620,880.00",,,"1:2.81
                                
                                    (FY:074-075)"
NBLD85,8% Nabil Debenture 2085 (NBLD85),Corporate Debenture,"3,000,000.00","0.00 (FY:, Q:0)",0,0,"1,040.00","3,120,000,000.00",,,
SICLPO,Shikhar Insurance Company Limited Promoter Share (SICLPO),Promotor Share,,"0.00 (FY:, Q:0)",0,0,461,0,"1.26
                                
                                    (FY:071-072)","24.00
                                
                                    (FY:071-072)",
LICN,Life Insurance Co. Nepal (LICN),Life Insurance,"50,000,000.00","5.67 (FY:081-082, Q:2)",187.48,175.59,6.05,"53,150,000,000.00",,,
MSHL,Mid-Solu Hydropower Limited (MSHL),Hydro Power,"7,484,000.00","19.35 (FY:081-082, Q:2)",48.55,112.18,8.37,"7,031,218,000.00",,,
UHEWA,Upper Hewakhola Hydropower Company Limited (UHEWA),Hydro Power,"5,000,000.00","22.35 (FY:081-082, Q:2)",38.84,113.65,7.64,"4,340,000,000.00",,,
MHNL,Mountain Hydro Nepal Limited (MHNL),Hydro Power,"12,500,000.00","-61.06 (FY:081-082, Q:2)",-4.34,26.28,10.08,"3,312,500,000.00",,,
BNL,Bottlers Nepal (Balaju) Limited (BNL),Manufacturing And Processing,"1,948,890.00","-251.47 (FY:081-082, Q:2)",-80.88,"3,278.90",6.2,"39,637,304,376.00",,,
HDHPC,Himal Dolakha Hydropower Company Limited (HDHPC),Hydro Power,"28,000,000.00","-2.60 (FY:081-082, Q:2)",-77.77,76.07,2.66,"5,661,600,000.00",,,"1:0.75
                                
                                    (FY:079-080)"
